"Species","Treatment","Rep","DAT","GerminationCount","Percentage"
"Crabgrass","Jetty",1,"D21",0,0
"Crabgrass","Jetty",2,"D21",1,0.0333333333333333
"Crabgrass","Jetty",3,"D21",0,0
"Crabgrass","Jetty",4,"D21",0,0
"Crabgrass","Nonfertilized",1,"D21",1,0.0333333333333333
"Crabgrass","Nonfertilized",2,"D21",0,0
"Crabgrass","Nonfertilized",3,"D21",1,0.0333333333333333
"Crabgrass","Nonfertilized",4,"D21",3,0.1
"Crabgrass","Fertilized",1,"D21",4,0.133333333333333
"Crabgrass","Fertilized",2,"D21",2,0.0666666666666667
"Crabgrass","Fertilized",3,"D21",2,0.0666666666666667
"Crabgrass","Fertilized",4,"D21",0,0
"Crabgrass","DI water",1,"D21",1,0.0333333333333333
"Crabgrass","DI water",2,"D21",0,0
"Crabgrass","DI water",3,"D21",0,0
"Crabgrass","DI water",4,"D21",0,0
"Goosegrass","Wicked",1,"D21",0,0
"Goosegrass","Wicked",2,"D21",0,0
"Goosegrass","Wicked",3,"D21",0,0
"Goosegrass","Wicked",4,"D21",0,0
"Goosegrass","Seamist",1,"D21",0,0
"Goosegrass","Seamist",2,"D21",0,0
"Goosegrass","Seamist",3,"D21",1,0.0333333333333333
"Goosegrass","Seamist",4,"D21",0,0
"Goosegrass","Radar",1,"D21",0,0
"Goosegrass","Radar",2,"D21",0,0
"Goosegrass","Radar",3,"D21",1,0.0333333333333333
"Goosegrass","Radar",4,"D21",0,0
"Goosegrass","Cardinal",1,"D21",0,0
"Goosegrass","Cardinal",2,"D21",2,0.0666666666666667
"Goosegrass","Cardinal",3,"D21",2,0.0666666666666667
"Goosegrass","Cardinal",4,"D21",4,0.133333333333333
"Goosegrass","Jetty",1,"D21",0,0
"Goosegrass","Jetty",2,"D21",0,0
"Goosegrass","Jetty",3,"D21",0,0
"Goosegrass","Jetty",4,"D21",4,0.133333333333333
"Goosegrass","Nonfertilized",1,"D21",0,0
"Goosegrass","Nonfertilized",2,"D21",1,0.0333333333333333
"Goosegrass","Nonfertilized",3,"D21",0,0
"Goosegrass","Nonfertilized",4,"D21",1,0.0333333333333333
"Goosegrass","Fertilized",1,"D21",0,0
"Goosegrass","Fertilized",2,"D21",1,0.0333333333333333
"Goosegrass","Fertilized",3,"D21",0,0
"Goosegrass","Fertilized",4,"D21",0,0
"Goosegrass","DI water",1,"D21",1,0.0333333333333333
"Goosegrass","DI water",2,"D21",10,0.333333333333333
"Goosegrass","DI water",3,"D21",9,0.3
"Goosegrass","DI water",4,"D21",0,0
